"","Calendar","Italy","Lombardia","Veneto","Emilia.Romagna","Piemonte","Campania","Liguria","Toscana"
"46",2020-09-29,482.529619404084,113.561669665985,85.2262282308391,30.0028793086916,24.3345305711293,22.5533449619412,33.4637268657855,22.5670397602602
"47",2020-09-30,504.735336451036,117.231979900957,88.0323846589477,31.0182639424153,25.3392156378754,23.6468970153076,34.9254247907452,23.650122099351
"48",2020-10-01,527.633687863661,120.928835899274,90.8718014328504,32.0479343581318,26.3817018465456,24.7888486787605,36.3843930964984,24.7769831189904
"49",2020-10-02,551.231655893444,124.649630798548,93.7430232845407,33.0914440162641,27.4632609100867,25.981120126461,37.8380346830806,25.9490057503271
"50",2020-10-03,575.535765127512,128.391772074493,96.644574983928,34.1483354314063,28.5852016640306,27.2256979132004,39.2838914755184,27.167600804001
"51",2020-10-04,600.552071911202,132.152686958826,99.5749643787761,35.2181411136763,29.7488709567399,28.5246368755212,40.7196502025803,28.4342069752466
"52",2020-10-05,626.286154632462,135.929827560238,102.53268537975,36.3003845071141,30.9556545550613,29.8800620730482,42.1431464336961,29.7502908292711
"53",2020-10-06,652.743104881103,139.720675683255,105.516220883063,37.3945809223821,32.2069780654897,31.2941707704186,43.5523670136621,31.1173467665917
"54",2020-10-07,679.927519493047,143.522747341721,108.524045623857,38.5002384611746,33.504307870941,32.7692344601852,44.9454510397741,32.5368969680384
"55",2020-10-08,707.843493487026,147.333596965486,111.554628954118,39.6168589298976,34.8491520832282,34.3076009270591,46.3206895278861,34.0104913191477
"56",2020-10-09,736.494613898413,151.150821300519,114.606437539529,40.7439387403388,36.2430615113304,35.9116963538444,47.6765239130489,35.5397073136933
"57",2020-10-10,765.883954512265,154.97206300425,117.677937970324,41.8809697952025,37.6876306455425,37.5840274694054,49.0115435272894,37.1261499361224
"58",2020-10-11,796.014071495025,158.795013939346,120.767599281795,43.0274403565487,39.1844986575854,39.3271837389949,50.3244821921669,38.7714515226845
"59",2020-10-12,826.886999921851,162.617418170388,123.873895380691,44.1828358953281,40.735350416756,41.1438395972555,51.61421405738,40.4772716010667
"60",2020-10-13,858.504251194111,166.437074669121,126.995307374341,45.3466399203675,42.3419175221882,43.0367567241982,52.8797488092373,42.2452967083665
"61",2020-10-14,890.866811339223,170.251839734913,130.130325799859,46.5183347853112,44.0059793512938,45.0087863644393,54.1202263645735,44.0772401872609
"62",2020-10-15,923.975140182797,174.059629138024,133.277452751326,47.6974024721812,45.7293641244473,47.0628716899718,55.3349111569433,45.9748419602494
"63",2020-10-16,957.829171380915,177.858419994027,136.435203903365,48.8833253503629,47.5139499859703,49.2020502067211,56.523186112914,47.9398682818761
"64",2020-10-17,992.428313298288,181.646252378446,139.602110429956,50.0755869099753,49.3616661014725,51.429456205129,57.6845464071852,49.9741114688559
"65",2020-10-18,1027.77145071619,185.421230691197,142.776720817848,51.2736724687205,51.2744937715936,53.7483232549867,58.8185930762644,52.0793896080569
"66",2020-10-19,1063.85694735217,189.181524780938,145.957602574289,52.4770698514473,53.2544675621917,56.1619867447218,59.9250265616569,54.2575462423131
"67",2020-10-20,1100.68264917197,192.925370839768,149.143343829255,53.6852700417949,55.303676451013,58.67388646533,61.0036402450783,56.5104500340665
"68",2020-10-21,1138.24588847234,196.651072079024,152.332554832673,54.8977678054071,57.4242649908773,61.2875692391185,62.0543140301734,58.8399944068631
"69",2020-10-22,1176.54348871209,200.356999197135,155.523869347513,56.1140622843316,59.6184344894016,64.0066915934156,63.0770080176549,61.2480971647486
"70",2020-10-23,1215.57177006746,204.04159065059,158.715945939933,57.3336575623307,61.8884442052859,66.8350224793762,64.0717563137299,63.7367000896386
"71",2020-10-24,1255.32655568642,207.703352739176,161.907469167941,58.5560632009396,64.2366125611727,69.7764460359983,65.0386610051579,66.3077685167569
