"","Calendar","Italy","Lombardia","Veneto","Emilia.Romagna","Piemonte","Marche","Liguria","Toscana"
"28",2020-03-22,5890.99022476216,3610.90125589852,188.017163010032,813.3667671459,295.454320971127,193.341922606687,191.014180789072,91.4533652664825
"29",2020-03-23,6470.53479038173,3931.39229785039,210.444037968936,889.958415817333,339.247759889148,218.346734355748,211.559077491732,104.130760955973
"30",2020-03-24,7072.09381744356,4260.16296880645,234.30414179704,969.037417926051,386.722166174314,244.36340314192,233.155927960639,117.7728096635
"31",2020-03-25,7693.5116244402,4595.88340281759,259.55847360926,1050.29935959836,437.825758642887,271.198327097179,255.749217600303,132.357397181974
"32",2020-03-26,8332.52925201987,4937.21821994437,286.157418918261,1133.43177229533,492.470046062956,298.655166191914,279.276552291994,147.853413175318
"33",2020-03-27,8986.81819974907,5282.84385676229,314.041607407292,1218.11856503229,550.531944746781,326.539627023483,303.669647250326,164.22143172932
"34",2020-03-28,9654.01257244675,5631.46401827298,343.142884789646,1304.04412456548,611.856525112329,354.66357290167,328.855346771035,181.414522191524
"35",2020-03-29,10331.7390935017,5981.82313105667,373.385369281472,1390.89702937023,676.260260865439,382.848402461379,354.756650759106,199.379158269078
"36",2020-03-30,11017.6445742762,6332.71775165433,404.686564042787,1478.37334168657,743.534651226405,410.927687453888,381.293726525394,218.056193762648
"37",2020-03-31,11709.4205530932,6683.00594704614,436.958498559804,1566.17945850239,813.450089054092,438.749097583225,408.384887245434,237.381874877279
"38",2020-04-01,12404.824930921,7031.61471542479,470.108874173507,1654.03451678193,885.759854785764,466.175667336887,435.947521531741,257.288861511529
"39",2020-04-02,13101.7005314209,7377.54555555938,504.042191632575,1741.67236038798,960.204126729507,493.086477548281,463.898961648066,277.707233030101
"40",2020-04-03,13797.9905992376,7719.87832264717,538.660841502669,1828.843085981,1036.51391135438,519.376834216521,492.157280881441,298.565457533933
"41",2020-04-04,14491.7513219035,8057.77352868085,573.866141354928,1915.31419279668,1114.41481183312,544.958030397921,520.642013400341,319.791307342492
"42",2020-04-05,15181.1615177686,8390.47325721426,609.5593067606,2000.8713667703,1193.63056833204,569.756775293549,549.274792502118,341.312707115108
"43",2020-04-06,15864.5296757723,8717.30086725424,645.642346133754,2085.31893320047,1273.88631868135,593.714369404143,577.979905448288,363.058504615386
"44",2020-04-07,16540.2985638027,9037.65966010257,682.018872309605,2168.48001426615,1354.91154251491,616.785697044011,606.684765078629,384.959157453734
"45",2020-04-08,17207.0476422352,9351.030677521,718.594826362294,2250.19642847604,1436.44266530581,638.938098622274,635.320300076147,406.947332149333
"46",2020-04-09,17863.4935295141,9656.96979069754,755.279111512364,2330.32836878337,1518.22531064669,660.150175717223,663.821267129103,428.958414485298
"47",2020-04-10,18508.4887688794,9955.10422813553,791.98413702674,2408.75389487404,1600.01619945443,680.410572686971,692.126489317302,450.930932365666
"48",2020-04-11,19141.0191410254,10245.1286776178,828.626273763254,2485.36827324337,1681.58470344524,699.716769795843,720.179025858983,472.806894217175
"49",2020-04-12,19760.1997580146,10526.8010835314,865.126224459924,2560.08319630697,1762.71406723755,718.073914859431,747.926278917438,494.532047425917
"50",2020-04-13,20365.2701604311,10799.9382466566,901.409313027817,2632.82590910619,1843.20231887178,735.493713370116,775.320043511801,516.056062384272
"51",2020-04-14,20955.5886236627,11064.4113194932,937.405697993917,2703.53826930853,1922.86289250623,751.993391016136,802.316506733928,537.332648480582
"52",2020-04-15,21530.6258613338,11320.1412766669,973.050515880322,2772.1757632799,2001.52498970944,767.594737441365,828.876202472506,558.319608831499
"53",2020-04-16,22089.9582950799,11567.0944271915,1008.28396072467,2838.70649811062,2079.03370728663,782.32323595573,854.963927715182,578.978840775532
"54",2020-04-17,22633.2610407466,11805.2780235327,1043.05130617184,2903.11018667943,2155.2499601255,796.207280615048,880.548626265922,599.276289156987
"55",2020-04-18,23160.3007422319,12034.7360116353,1077.30287662681,2965.37714019156,2230.05022729532,809.277479546654,905.603245402538,619.181859271592
"56",2020-04-19,23670.9283660057,12255.5449563918,1110.99397388038,3025.50728016321,2303.32614874407,821.566041500897,930.104570629842,638.669296055252
"57",2020-04-20,24165.0720521187,12467.8101684563,1144.08476542944,3083.50917956933,2374.98399856108,833.106241257087,954.033043276161,657.716035708841
"58",2020-04-21,24642.7301014903,12671.6620508165,1176.54014043523,3139.39914083481,2444.9440590395,843.931958610717,977.372565251119,676.303035493942
"59",2020-04-22,25103.9641645557,12867.2526770876,1208.32953891869,3193.20031653566,2513.13991780092,854.077285130126,1000.11029484422,694.414586932355
"60",2020-04-23,25548.8926830517,13054.7526080088,1239.42675940028,3244.94187708169,2579.51770813137,863.576192618875,1022.23643700781,712.038117117186
"61",2020-04-24,25977.6846248216,13234.347948039,1269.80974976965,3294.65822826863,2644.0353105068,872.462257188821,1043.74403114333,729.163982312906
"62",2020-04-25,26390.553541026,13406.2376401759,1299.46038573235,3342.38828040188,2706.66153112197,880.76843298256,1064.62873900315,745.785257499822
"63",2020-04-26,26787.7519659897,13570.6309940764,1328.3642407381,3388.174769693,2767.37527113261,888.526869836062,1084.88863493635,761.897525015675
"64",2020-04-27,27169.5661720347,13727.7454401553,1356.51035085799,3432.06363179736,2826.16469831456,895.768769505451,1104.52400034995,777.498664971539
"65",2020-04-28,27536.3112849434,13877.804500501,1383.89097765379,3474.10342668021,2883.02643096404,902.524275465761,1123.53712392799,792.588649676368
"66",2020-04-29,27888.3267600878,14021.0359660916,1410.50137167705,3514.34481345317,2937.964742129,908.822391700518,1141.93210885205,807.169343897932
"67",2020-04-30,28225.9722146238,14157.6702688587,1436.33953885408,3552.84007339686,2990.99079068215,914.690926321266,1159.71468799763,821.244312419351
"68",2020-05-01,28549.6236074059,14287.9390365564,1461.40601165655,3589.64267906298,3042.12188432832,920.156456271954,1176.89204784094,834.818636020506
"69",2020-05-02,28859.6697553063,14412.0738180959,1485.70362663037,3624.80690711711,3091.3807783789,925.244309774983,1193.47266159937,847.898736721653
"70",2020-05-03,29156.5091723456,14530.3049669461,1509.23730955634,3658.38749242656,3138.79501302249,929.978563556728,1209.46613194429,860.492212871292
"71",2020-05-04,29440.5472163522,14642.860670338,1532.01386924678,3690.43932080634,3184.39629086401,934.382052246386,1224.88304346591,872.607684439812
"72",2020-05-05,29712.1935266949,14749.9661122918,1554.04180074123,3721.01715779742,3228.21989568661,938.476387670459,1239.73482493399,884.25464869223
"73",2020-05-06,29971.859735891,14851.8427588954,1575.3310984511,3750.175410857,3270.30415270046,942.281986065111,1254.03362128414,895.443346255
"74",2020-05-07,30219.9574375154,14948.7077547501,1595.8930796162,3777.96792238093,3310.68992996824,945.818101499972,1267.79217516446,906.184637460585
"75",2020-05-08,30456.8963927606,15040.7734200566,1615.74021827372,3804.44779104691,3349.42018022885,949.102864050525,1281.02371780038,916.489888746536
"76",2020-05-09,30683.082958169,15128.2468384108,1634.88598980111,3829.66721905698,3386.53952196501,952.15332147324,1293.74186887347,926.370868800586
"77",2020-05-10,30898.9187174267,15211.329525997,1653.34472597637,3853.67738296357,3422.09385826769,954.985483329805,1305.96054506257,935.839654077049
"78",2020-05-11,31104.799300631,15290.2171735007,1671.13148040021,3876.52832588035,3456.13003182924,957.614366675867,1317.6938768595,944.908543260236
"79",2020-05-12,31301.1133750853,15365.0994526881,1688.26190404354,3898.26886900368,3488.69551423811,960.054042577759,1328.95613324645,953.589980215394
"80",2020-05-13,31488.2417924037,15436.1598802212,1704.75213061788,3918.94654049898,3519.83812764235,962.317682849448,1339.76165380563,961.896484944645
"81",2020-05-14,31666.5568774948,15503.5757318769,1720.6186714145,3938.6075199364,3549.60579678769,964.417606513523,1350.12478782319,969.840592052769
"82",2020-05-15,31836.4218458211,15567.5180009167,1735.8783192184,3957.29659658958,3578.04632941267,966.365325586134,1360.05983994706,977.434796223618
"83",2020-05-16,31998.1903361768,15628.1513949069,1750.54806087462,3975.05714003837,3605.20722298987,968.171589868154,1369.58102196144,984.691504210985
"84",2020-05-17,32152.2060470738,15685.6343658078,1764.64499806425,3991.93108163986,3631.1354958347,969.846430495071,1378.70241024801,991.62299285654
"85",2020-05-18,32298.8024656723,15740.119168647,1778.18627583622,4007.95890555057,3655.87754065441,971.399202057669,1387.43790851494,998.241372660742
"86",2020-05-19,32438.3026790105,15791.7519445469,1791.18901843561,4023.17964809639,3679.47899867728,972.838623155773,1395.80121538846,1004.55855644949
"87",2020-05-20,32571.0192580931,15840.6728243078,1803.67027197017,4037.63090439392,3701.98465258022,974.172815289414,1403.80579647748,1010.58623269873
"88",2020-05-21,32697.2542061607,15887.0160491421,1815.64695346198,4051.34884122854,3723.43833651997,975.409340026771,1411.46486053928,1016.33584310064
"89",2020-05-22,32817.2989631991,15930.9101055232,1827.13580584036,4064.36821528914,3743.88286166497,976.555234417198,1418.79133939247,1021.81856397754
"90",2020-05-23,32931.434459441,15972.4778714464,1838.15335844463,4076.72239594824,3763.35995572055,977.617044641283,1425.79787124284,1027.04529117302
"91",2020-05-24,33039.9312112675,16011.8367717091,1848.71589261991,4088.44339185842,3781.91021503675,978.60085790912,1432.49678710691,1032.02662807344
"92",2020-05-25,33143.0494535339,16049.0989400979,1858.83941200572,4099.5618807119,3799.5730679845,979.512332633277,1438.90010003757,1036.77287643628
"93",2020-05-26,33241.0393029161,16084.3713866234,1868.53961713524,4110.10724158048,3816.38674838088,980.356726915081,1445.01949687564,1041.29402972512
